ORCA_ID,Onset_Time_JW,Offset_Time_JW,Participant_JW,Handle_JW,Onset_Time_YZ,Offset_Time_YZ,Participant_YZ,Handle_YZ
2019,0,0,Child A,0,0,0,Child A,0
2019,00:16:28:12,00:16:28:34,Child B,CompleteDown_Blue,00:16:28:20,00:16:28:32,Child B,CompleteDown_Blue
2019,00:16:34:08,00:16:34:20,Child B,CompleteDown_Blue,00:16:34:10,00:16:34:16,Child B,CompleteDown_Blue
2019,00:16:50:26,00:16:50:32,Child B,CompleteDown_Blue,0,0,Child B,0
2033,00:03:42:36,00:03:42:38,Child A,CompleteDown_Green,00:03:37:16,00:03:37:28,Child A,CompleteDown_Green
2033,0,0,Child B,0,00:03:07:12,00:03:10:02,Child B,CompleteDown_Green
2033,0,0,Child B,0,00:03:20:34,00:03:31:24,Child B,CompleteDown_Green
2036,00:01:01:22,00:01:02:02,Child A,CompleteDown_Blue,00:01:01:20,00:01:02:00,Child A,CompleteDown_Blue
2036,00:01:02:32,00:01:02:36,Child A,CompleteDown_Blue,00:01:02:34,00:01:02:36,Child A,CompleteDown_Blue
2036,00:01:03:10,00:01:03:12,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:01:04:26,00:01:04:30,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:01:05:30,00:01:05:36,Child A,CompleteDown_Blue,00:01:05:32,00:01:05:34,Child A,CompleteDown_Blue
2036,00:01:11:38,00:01:11:40,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:01:12:36,00:01:12:38,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:02:06:18,00:02:06:30,Child A,CompleteDown_Blue,00:02:06:20,00:02:06:24,Child A,CompleteDown_Blue
2036,00:02:39:38,00:02:39:44,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:02:40:34,00:02:40:42,Child A,CompleteDown_Blue,0,0,Child A,0
2036,00:02:41:22,00:02:41:34,Child A,CompleteDown_Blue,00:02:41:24,00:02:41:30,Child A,CompleteDown_Blue
2036,00:02:37:08,00:02:37:34,Child B,CompleteDown_Green,00:02:37:12,00:02:37:32,Child B,CompleteDown_Green
2036,00:03:17:36,00:03:18:22,Child B,CompleteDown_Green,00:03:17:38,00:03:18:22,Child B,CompleteDown_Green
2036,00:03:22:34,00:03:23:08,Child B,CompleteDown_Green,0,0,Child B,0
2036,00:03:25:36,00:03:26:08,Child B,CompleteDown_Blue,00:03:25:40,00:03:26:06,Child B,CompleteDown_Blue
2036,00:03:28:12,00:03:28:40,Child B,CompleteDown_Green,00:03:28:12,00:03:28:44,Child B,CompleteDown_Green
2038,00:01:45:20,00:01:45:32,Child A,CompleteDown_Green,00:01:45:24,00:01:45:30,Child A,CompleteDown_Green
2038,00:01:47:10,00:01:47:20,Child A,CompleteDown_Green,0,0,Child A,0
2038,00:01:48:30,00:01:48:48,Child A,CompleteDown_Green,00:01:48:32,00:01:48:44,Child A,CompleteDown_Green
2038,00:01:54:42,00:01:55:02,Child A,CompleteDown_Green,00:01:54:42,00:01:55:02,Child A,CompleteDown_Green
2038,00:02:07:44,00:02:08:36,Child A,CompleteDown_Green,00:02:07:46,00:02:08:32,Child A,CompleteDown_Green
2038,00:02:09:48,00:02:10:16,Child A,CompleteDown_Green,0,0,Child A,0
2038,00:02:11:20,00:02:12:06,Child A,CompleteDown_Green,00:02:11:24,00:02:12:00,Child A,CompleteDown_Green
2038,00:02:13:08,00:02:13:28,Child A,CompleteDown_Green,00:02:13:12,00:02:13:24,Child A,CompleteDown_Green
2038,00:02:15:30,00:02:15:38,Child A,CompleteDown_Green,00:02:15:36,00:02:15:38,Child A,CompleteDown_Green
2038,00:02:18:36,00:02:18:44,Child A,CompleteDown_Green,00:02:19:12,00:02:19:26,Child A,CompleteDown_Green
2038,00:02:20:36,00:02:21:20,Child A,CompleteDown_Green,00:02:20:38,00:02:21:18,Child A,CompleteDown_Green
2038,0,0,Child A,0,00:02:21:24,00:02:21:30,Child A,CompleteDown_Green
2038,00:03:15:20,00:03:24:48,Child A,CompleteDown_Green,00:03:15:22,00:03:24:46,Child A,CompleteDown_Green
2038,00:03:25:34,00:03:25:44,Child A,CompleteDown_Green,00:03:25:36,00:03:25:42,Child A,CompleteDown_Green
2038,00:03:26:18,00:03:26:18,Child A,CompleteDown_Green,0,0,Child A,0
2038,00:03:26:42,00:03:26:48,Child A,CompleteDown_Green,00:03:26:44,00:03:26:48,Child A,CompleteDown_Green
2038,00:03:27:20,00:03:27:26,Child A,CompleteDown_Green,00:03:27:20,00:03:27:24,Child A,CompleteDown_Green
2038,00:03:27:46,00:03:28:02,Child A,CompleteDown_Green,00:03:27:46,00:03:28:00,Child A,CompleteDown_Green
2038,00:03:41:00,00:03:41:00,Child A,CompleteDown_Green,0,0,Child A,0
2038,00:03:42:00,00:03:42:34,Child A,CompleteDown_Green,00:03:42:02,00:03:42:30,Child A,CompleteDown_Green
2038,00:03:43:08,00:03:47:28,Child A,CompleteDown_Green,00:03:43:10,00:03:43:24,Child A,CompleteDown_Green
2038,0,0,Child A,0,00:03:43:46,00:03:47:30,Child A,CompleteDown_Green
2038,00:03:49:10,00:03:49:40,Child A,CompleteDown_Green,00:03:49:08,00:03:49:38,Child A,CompleteDown_Green
2038,00:03:50:32,00:03:51:28,Child A,CompleteDown_Green,00:03:50:34,00:03:51:26,Child A,CompleteDown_Green
2038,00:03:52:38,00:03:56:44,Child A,CompleteDown_Green,00:03:52:46,00:03:56:40,Child A,CompleteDown_Green
2038,00:03:58:24,00:04:01:40,Child A,CompleteDown_Green,00:03:58:26,00:04:01:34,Child A,CompleteDown_Green
2038,00:04:22:46,00:04:23:14,Child B,CompleteDown_Blue,00:04:22:46,00:04:23:22,Child B,CompleteDown_Blue
2083,00:01:01:08,00:01:01:12,Child A,CompleteDown_Blue,0,0,Child A,0
2083,00:03:12:00,00:03:12:24,Child B,CompleteDown_Blue,00:03:12:02,00:03:12:28,Child B,CompleteDown_Blue
2083,0,0,Child B,0,00:03:16:26,00:03:16:36,Child B,CompleteDown_Green
2083,00:03:49:10,00:03:49:28,Child B,CompleteDown_Blue,00:03:49:10,00:03:49:28,Child B,CompleteDown_Blue
2083,00:03:52:46,00:03:53:16,Child B,CompleteDown_Blue,00:03:52:46,00:03:53:14,Child B,CompleteDown_Blue
2083,00:03:57:46,00:03:58:20,Child B,CompleteDown_Green,00:03:58:00,00:03:58:14,Child B,CompleteDown_Green
